Jawa 350197811 926 грн430 $,12345 тыс. км., карбюратор, цепь привод ,Болехов, 28 апреля 2021 г. 
Jawa 638198811 094 грн400 $,10000 тыс. км., инжектор, цепь привод, вишневый ,Кривой Рог, 6 апреля 2021 г. 
Jawa 634197822 500 грн812 $,50 тыс. км., красный ,Боярка, 4 апреля 2021 г. 
Jawa 638198815 532 грн560 $,30000 тыс. км., карбюратор, рядное, цепь привод, 2, вишневый ,Ровно, 20 марта 2021 г. 
Jawa 638197915 000 грн541 $,18000 тыс. км., карбюратор, цепь привод, 2, красный ,Чернигов, 15 марта 2021 г. 
Jawa 63419806 240 грн225 $,1 тыс. км., карбюратор, рядное, цепь привод, 2, красный ,Киевская область, 22 февраля 2019 г. 
Jawa 2501963102 623 грн3 700 $,1 тыс. км., карбюратор, рядное, цепь привод, 2, вишневый ,Житомир, 14 февраля 2019 г. 
Jawa 350196622 188 грн800 $,57 тыс. км., карбюратор, цепь привод, 2, красный ,Черновцы, 13 января 2019 г. 
Jawa 634199024 962 грн900 $,16 тыс. км., карбюратор, рядное, цепь привод, 2, красный ,Киев, 30 декабря 2018 г. 
Jawa 350198720 000 грн722 $,21 тыс. км., рядное, цепь привод, красный ,Харьков, 23 декабря 2018 г. 
Jawa 638198717 000 грн613 $,34 тыс. км., карбюратор, 2, красный ,Мариуполь, 23 декабря 2018 г. 
Jawa 638198516 500 грн595 $,11 тыс. км., цепь привод, 2 ,Казатин, 25 ноября 2018 г. 
Jawa 350198412 000 грн433 $,1 тыс. км., красный ,Казатин, 7 ноября 2018 г. 
